City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
125,Ancud,CL,56.73,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
127,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
128,Kiunga,PG,73.9,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
129,Borazjan,IR,68.29,broken clouds,29.2666,51.2159,شرکت زرمهریار شعبه سوم
131,Geraldton,AU,58.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
133,Rio Gallegos,AR,59.05,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
140,Castro,BR,70.56,clear sky,-24.7911,-50.0119,CHACARA BAILLY
143,Saldanha,ZA,60.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
144,New Norfolk,AU,72.75,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
154,Kuliyapitiya,LK,74.88,broken clouds,7.4688,80.0401,Rest House
163,Dumas,US,71.02,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
167,Taoudenni,ML,69.12,overcast clouds,22.6783,-3.9836,
177,Chuy,UY,62.76,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
180,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
182,Doha,QA,73.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
190,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
192,Alcudia,ES,58.95,overcast clouds,39.8532,3.1214,Zafiro Tropic
193,Namuac,PH,71.28,overcast clouds,18.6109,121.1657,Mlin Hotel
196,Guadalupe Y Calvo,MX,61.75,broken clouds,26.1,-106.9667,Hotel Pizarro
197,Port Elizabeth,ZA,66.09,clear sky,-33.918,25.5701,39 On Nile Guest House
211,Jalu,LY,61.11,overcast clouds,29.0331,21.5482,صاحبة الفخامة
213,Avera,US,69.67,few clouds,33.194,-82.5271,
221,Vila Franca Do Campo,PT,64.2,clear sky,37.7167,-25.4333,Pestana Bahia Praia
223,Wattegama,LK,72.52,overcast clouds,6.7989,81.4808,
227,Ibra,OM,66.36,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
233,Lebu,CL,59.16,broken clouds,-37.6167,-73.65,Hostal Las Lilas
236,Anuradhapura,LK,72.21,broken clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
241,Palasa,IN,66.33,few clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
242,Tapes,BR,66.78,scattered clouds,-30.6733,-51.3958,Cabanas Camping Union
245,Huarmey,PE,69.58,broken clouds,-10.0681,-78.1522,Hotel Miramar
255,Suez,EG,60.49,broken clouds,29.9737,32.5263,Green House
256,Mbigou,GA,69.04,moderate rain,-1.9005,11.906,
257,Miraflores,MX,74.05,overcast clouds,19.2167,-98.8083,Hotel Mansión
259,La Grange,US,66.51,clear sky,33.0393,-85.0313,Hampton Inn Lagrange near Callaway Gardens
260,Lahij,YE,69.84,clear sky,13.1667,44.5833,
264,Victoria,HK,61.25,broken clouds,22.2855,114.1577,Mini Hotel Central
